Word,Cluster
baroness,0
countess,0
duchess,0
duke,0
earl,0
empress,0
footman,0
highness,0
laird,0
madame,0
marquis,0
musketeer,0
patroness,0
regent,0
retinue,0
handedly,1
singlehandedly,1
choice,2
choose,2
consider,2
decide,2
opt,2
option,2
prefer,2
recommend,2
select,2
achievement,3
advancement,3
aptitude,3
breadth,3
communication,3
competence,3
comprehension,3
discipline,3
expertise,3
familiarity,3
insight,3
intelligence,3
knowledge,3
mastery,3
maturity,3
organizational,3
proficiency,3
readiness,3
skill,3
specialization,3
teamwork,3
technical,3
bait,4
decoy,4
leech,4
lure,4
prey,4
sinker,4
spawn,4
trap,4
accelerate,5
boost,5
competitiveness,5
efficiency,5
enhance,5
enhancement,5
flexibility,5
footprint,5
improve,5
improvement,5
leverage,5
maximize,5
mobility,5
optimal,5
optimize,5
optimum,5
productivity,5
profitability,5
stability,5
utilization,5
viability,5
visibility,5
achingly,6
blindingly,6
certifiably,6
complexly,6
cozily,6
erotically,6
explosively,6
hauntingly,6
indescribably,6
inspirationally,6
invitingly,6
lethally,6
mystically,6
outlandishly,6
perversely,6
poetically,6
searingly,6
sensationally,6
sublimely,6
subliminally,6
terrifically,6
timelessly,6
unarguably,6
accordingly,7
accumulate,7
additionally,7
advisable,7
allocate,7
allot,7
amass,7
anyplace,7
attain,7
avail,7
collectively,7
compensate,7
confer,7
consume,7
devote,7
digest,7
dispense,7
duly,7
enclose,7
endow,7
entail,7
expend,7
fro,7
furnish,7
ingest,7
irrespective,7
lieu,7
obligate,7
occupy,7
ordinarily,7
possess,7
presently,7
procure,7
requisite,7
reside,7
suffice,7
therefor,7
thirdly,7
transact,7
blindly,8
blithely,8
brainlessly,8
callously,8
carelessly,8
childishly,8
foolishly,8
gleefully,8
ignorantly,8
impulsively,8
insolently,8
irresponsibly,8
mindlessly,8
pointlessly,8
reflexively,8
secretively,8
selfishly,8
shamefully,8
shamelessly,8
stupidly,8
unprofessionally,8
wantonly,8
accentuate,9
amplify,9
augment,9
beautify,9
bolster,9
broaden,9
deepen,9
elevate,9
energize,9
enlighten,9
enrich,9
fortify,9
freshen,9
heighten,9
hone,9
impart,9
infuse,9
intensify,9
invigorate,9
liven,9
magnify,9
quicken,9
sharpen,9
stimulate,9
strengthen,9
supercharge,9
unify,9
uplift,9
autocratic,10
beholden,10
cabal,10
caliphate,10
corrupt,10
democratically,10
despot,10
despotic,10
dictator,10
dictatorial,10
feudal,10
fiefdom,10
junta,10
lawless,10
oligarchy,10
oppressive,10
overthrow,10
plutocratic,10
soviets,10
subservient,10
superpower,10
tyrannical,10
tyrant,10
unaccountable,10
undemocratic,10
warlords,10
breather,11
bucket,11
bump,11
bust,11
carve,11
churn,11
claw,11
crush,11
dent,11
dig,11
dip,11
ditch,11
drag,11
drop,11
flip,11
fold,11
freeze,11
grab,11
grind,11
hammer,11
hang,11
jump,11
leap,11
maneuver,11
nip,11
nudge,11
offs,11
peek,11
perk,11
pinch,11
plunge,11
prop,11
pry,11
pull,11
push,11
rip,11
roll,11
sack,11
scoop,11
scramble,11
shake,11
shred,11
slash,11
snag,11
snap,11
sneak,11
spike,11
spin,11
splash,11
squeeze,11
stall,11
stash,11
steal,11
steer,11
swap,11
swipe,11
swoop,11
tap,11
toss,11
trick,11
trusty,11
tuck,11
tumble,11
twist,11
upside,11
weigh,11
whip,11
chive,12
hollandaise,12
leek,12
aggressor,13
disarm,13
preemptive,13
preemptively,13
reassign,13
redeploy,13
retaliate,13
summarily,13
unilaterally,13
attractive,14
boxy,14
casual,14
chunky,14
classy,14
compliment,14
discreet,14
distinctive,14
edgy,14
elegant,14
fancy,14
feminine,14
flashy,14
graceful,14
handsome,14
immaculate,14
ladylike,14
minimalist,14
neat,14
retro,14
silhouette,14
sleek,14
slick,14
snazzy,14
spiffy,14
sporty,14
style,14
stylish,14
tasteful,14
wearable,14
ambiguity,15
contradiction,15
conundrum,15
crux,15
dichotomy,15
dilemma,15
dissonance,15
duality,15
enigma,15
entanglement,15
fragility,15
imperfection,15
impossibility,15
incompatibility,15
inconsistency,15
inherent,15
intractable,15
lacuna,15
oxymoron,15
paradox,15
subtext,15
unresolvable,15
unresolved,15
conspiracy,16
disinformation,16
misdirection,16
misinformation,16
obfuscation,16
propaganda,16
burrito,17
guacamole,17
margarita,17
mayo,17
nacho,17
pinto,17
salsa,17
sangria,17
taco,17
tacos,17
tortilla,17
adieu,18
aloha,18
applause,18
autograph,18
belated,18
cheer,18
condolence,18
congratulation,18
entourage,18
eulogy,18
fanfare,18
farewell,18
goodbye,18
goodnight,18
greet,18
greeting,18
handshake,18
invitation,18
ovation,18
salute,18
serenade,18
usher,18
wishers,18
bay,19
beach,19
